Date,City,Temperature,Condition
2025-08-30,Moradabad,298.8,Clouds
2025-08-30,Lucknow,300.58,Clouds
2025-08-30,Varanasi,300.74,Clouds
2025-08-30,Kanpur,301.01,Clouds
2025-08-30,Tokyo,301.44,Clouds
2025-08-30,London,291.48,Clouds
2025-08-30,Paris,291.37,Clouds
2025-08-30,Brussels,291.22,Clouds
2025-08-30,Madrid,297.92,Clear
2025-08-30,Shikohabad,301.56,Clouds
2025-08-30,Jaipur,300.95,Clouds
2025-08-30,Dehradun,296.28,Clouds
